id,source,title,content
enterprise-count-全国-2012,dataset,全国 2012年 企業数,Dataset observation: geography=全国; year=2012; enterprise_count=3863530; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-全国-2014,dataset,全国 2014年 企業数,Dataset observation: geography=全国; year=2014; enterprise_count=3820338; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-全国-2016,dataset,全国 2016年 企業数,Dataset observation: geography=全国; year=2016; enterprise_count=3589333; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-全国-2021,dataset,全国 2021年 企業数,Dataset observation: geography=全国; year=2021; enterprise_count=3375255; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-埼玉県-2012,dataset,埼玉県 2012年 企業数,Dataset observation: geography=埼玉県; year=2012; enterprise_count=174816; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-埼玉県-2014,dataset,埼玉県 2014年 企業数,Dataset observation: geography=埼玉県; year=2014; enterprise_count=172435; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-埼玉県-2016,dataset,埼玉県 2016年 企業数,Dataset observation: geography=埼玉県; year=2016; enterprise_count=161613; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-埼玉県-2021,dataset,埼玉県 2021年 企業数,Dataset observation: geography=埼玉県; year=2021; enterprise_count=150341; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-大阪府-2012,dataset,大阪府 2012年 企業数,Dataset observation: geography=大阪府; year=2012; enterprise_count=299446; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-大阪府-2014,dataset,大阪府 2014年 企業数,Dataset observation: geography=大阪府; year=2014; enterprise_count=294099; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-大阪府-2016,dataset,大阪府 2016年 企業数,Dataset observation: geography=大阪府; year=2016; enterprise_count=271936; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
